Key,en,es,ar
Default Template,Default Template,Plantilla predeterminada,القالب الافتراضي
Email Body,Email Body,Cuerpo del correo electronico,هيئة البريد الإلكتروني
Server Information,Server Information,información del servidor,معلومات الخادم
Cache Clear Successfully!,Cache Clear Successfully!,¡Borrar caché correctamente!,تم مسح ذاكرة التخزين المؤقت بنجاح!
Cookie information updated successfully!,Cookie information updated successfully!,¡La información de las cookies se actualizó correctamente!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!
Push notification configuration updated successfully!,Push notification configuration updated successfully!,¡La configuración de notificaciones push se actualizó correctamente!,تم تحديث تكوين إشعار الدفع بنجاح!
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,¡La configuración de transmisión se actualizó exitosamente!,تم تحديث تكوين البث بنجاح!
Useful link updated successfully!,Useful link updated successfully!,¡Enlace útil actualizado exitosamente!,تم تحديث الرابط المفيد بنجاح!
Section item added successfully!,Section item added successfully!,¡El artículo de la sección se agregó correctamente!,تمت إضافة عنصر القسم بنجاح!
Section item delete successfully!,Section item delete successfully!,¡El elemento de la sección se eliminó correctamente!,تم حذف عنصر القسم بنجاح!
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,¡Pantalla integrada agregada con éxito!,تمت إضافة الشاشة على متن الطائرة بنجاح!
Onboard screen status updated successfully!.,Onboard screen status updated successfully!.,¡El estado de la pantalla integrada se actualizó exitosamente!.,تم تحديث حالة الشاشة على متن الطائرة بنجاح!.
Onboard screen information updated successfully!,Onboard screen information updated successfully!,¡La información de la pantalla a bordo se actualizó exitosamente!,تم تحديث معلومات الشاشة الموجودة على اللوحة بنجاح!
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada exitosamente!,تم حذف الشاشة بنجاح!
Admin information updated successfully!,Admin information updated successfully!,¡La información del administrador se actualizó exitosamente!,تم تحديث معلومات المشرف بنجاح!
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado exitosamente!,تم إنشاء المشرف الجديد بنجاح!
Admin status updated successfully!,Admin status updated successfully!,¡El estado del administrador se actualizó exitosamente!,تم تحديث حالة المشرف بنجاح!
Admin role created successfully!,Admin role created successfully!,¡El rol de administrador se creó exitosamente!,تم إنشاء دور المشرف بنجاح!
Admin role updated successfully!,Admin role updated successfully!,¡El rol de administrador se actualizó exitosamente!,تم تحديث دور المشرف بنجاح!
Admin role deleted successfully!,Admin role deleted successfully!,¡El rol de administrador se eliminó correctamente!,تم حذف دور المشرف بنجاح!
Permission created successfully!,Permission created successfully!,¡Permiso creado exitosamente!,تم إنشاء الإذن بنجاح!
Permission updated successfully!,Permission updated successfully!,¡Permiso actualizado exitosamente!,تم تحديث الإذن بنجاح!
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado exitosamente!,تم حذف الإذن بنجاح!
Permission assign successfully!,Permission assign successfully!,¡El permiso se asignó correctamente!,تم تعيين الإذن بنجاح!
Admin deleted successfully!,Admin deleted successfully!,¡El administrador se eliminó exitosamente!,تم حذف المشرف بنجاح!
Mail successfully sended,Mail successfully sended,Correo enviado exitosamente,تم إرسال البريد بنجاح
Basic settings updated successfully!,Basic settings updated successfully!,¡La configuración básica se actualizó correctamente!,تم تحديث الإعدادات الأساسية بنجاح!
FIAT,FIAT,FÍAT,فيات
CRYPTO,CRYPTO,CRIPTO,تشفير
Successfully updated the information.,Successfully updated the information.,Se actualizó exitosamente la información.,تم تحديث المعلومات بنجاح.
Language updated successfully!,Language updated successfully!,¡Idioma actualizado exitosamente!,تم تحديث اللغة بنجاح!
UST,UST,UST,UST
Login Successfully,Login Successfully,Iniciar sesión exitosamente,تم تسجيل الدخول بنجاح
Please check email and verify your account,Please check email and verify your account,Por favor revise el correo electrónico y verifique su cuenta.,يرجى التحقق من البريد الإلكتروني والتحقق من حسابك
Registration successful,Registration successful,Registro exitoso,تم التسجيل بنجاح
The credentials does not match,The credentials does not match,Las credenciales no coinciden,بيانات الاعتماد غير متطابقة
Account Has been Suspended,Account Has been Suspended,Cuenta ha sido suspendida,تم تعليق حسابك
Verification code send success,Verification code send success,El código de verificación se envió correctamente,تم إرسال رمز التحقق بنجاح
Verification code does not match,Verification code does not match,El código de verificación no coincide,رمز التحقق غير متطابق
Logout Successful,Logout Successful,Cerrar sesión exitosamente,تم تسجيل الخروج بنجاح
Verification otp code sended to your email address.,Verification otp code sended to your email address.,Código otp de verificación enviado a su dirección de correo electrónico.,تم إرسال رمز التحقق لمرة واحدة إلى عنوان بريدك الإلكتروني.
Verification OTP invalid,Verification OTP invalid,Verificación OTP no válida,التحقق من كلمة المرور لمرة واحدة (OTP) غير صالح
OTP verification successful,OTP verification successful,Verificación OTP exitosa,تم التحقق من OTP بنجاح
Oops password does not match.,Oops password does not match.,"Vaya, la contraseña no coincide.",عفوًا، كلمة المرور غير متطابقة.
Invalid Request. Please try again,Invalid Request. Please try again,Solicitud no válida. Inténtalo de nuevo,طلب غير صالح. حاول مرة اخرى
Extension has been udpate successfully,Extension has been udpate successfully,La extensión se ha actualizado correctamente.,لقد تم تحديث الامتداد بنجاح
Language switch successfully!,Language switch successfully!,¡Cambio de idioma exitoso!,تبديل اللغة بنجاح!
Top Up Updated Successfully,Top Up Updated Successfully,Recarga actualizada con éxito,تم تحديث تعبئة الرصيد بنجاح
Select Category,Select Category,selecciona una categoría,اختر الفئة
Blog Edit,Blog Edit,Editar blog,تحرير المدونة
Blog item updated successfully!,Blog item updated successfully!,¡El artículo del blog se actualizó correctamente!,تم تحديث عنصر المدونة بنجاح!
FAQ Section,FAQ Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة
Add FAQ,Add FAQ,Agregar preguntas frecuentes,أضف الأسئلة الشائعة
Edit FAQ,Edit FAQ,Editar preguntas frecuentes,تحرير الأسئلة الشائعة
Blog Section,Blog Section,Sección de blogs,قسم المدونة
Setup Blog Category,Setup Blog Category,Configurar categoría de blog,فئة مدونة الإعداد
Recharge Section,Recharge Section,Sección de recarga,قسم إعادة الشحن
Header Section,Header Section,Sección de encabezado,قسم الرأس
Header Floting Section,Header Floting Section,Sección flotante del encabezado,رأس القسم العائم
Services Section,Services Section,Sección de Servicios,قسم الخدمات
Donation Section,Donation Section,Sección de Donaciones,قسم التبرعات
Why Choose Section,Why Choose Section,Por qué elegir la sección,لماذا تختار القسم
Solutions Section,Solutions Section,Sección de Soluciones,قسم الحلول
Best Item Section,Best Item Section,Mejor sección de artículos,قسم أفضل العناصر
Latest Item Section,Latest Item Section,Sección de artículos más recientes,قسم أحدث العناصر
Edit Social Link,Edit Social Link,Editar enlace social,تحرير الرابط الاجتماعي
Language Information,Language Information,Información de idioma,معلومات اللغة
Language Keywords of English,Language Keywords of English,Palabras clave del idioma inglés,الكلمات الرئيسية للغة الإنجليزية
Language,Language,,
